company_name,exp_req,job_desc,job_title,keyskills,links_detail,location,posted_by,posted_on,salary
Nupeak It Solutions,6-10 Yrs,"Typically Requires A Minimum Of 57 Years Experience Analyzing Data And/Or Teaching, Including At Least",Sr. Sas Data Analytics Consultant,"Sas Stat, Text Mining, Base Sas, Data Analysis, Statistics, Analytics",https://www.naukri.com/job-listings-Sr-SAS-Data-Analytics-Consultant-Nupeak-IT-Solutions-Mumbai-Delhi-Jaipur-6-to-10-years-100718003640?src=jobsearchDesk&sid=15376475157970&xp=18&px=1,"Mumbai, Delhi, Jaipur",HR,27 days ago,Not Disclosed

One Mobikwik Systems Pvt.Ltd,3-6 Yrs,* Must Have At Least 3+ Years Of Experience In A Similar Role;* Specialized Knowledge: HandsOn,Operations Manager- Mobikwik,"Sales, Operations Management, Operation Team, Data Analysis",https://www.naukri.com/job-listings-Operations-Manager-Mobikwik-One-Mobikwik-Systems-Pvt-Ltd-Gurgaon-3-to-6-years-210918005130?src=jobsearchDesk&sid=15376475157970&xp=19&px=1,Gurgaon,Arjun Anand,2 days ago,"4,00,000 - 6,50,000 P.A."

Huquo,1-5 Yrs,15 Years Of Total Experience Of Data Analytics / Data Insights Generation;Experience In Credit Card /,Business Analyst - Banking/Retail Analytics,"Retail Analytics, Business Analysis, Excel, Sas, Data Analytics, Vba",https://www.naukri.com/job-listings-Business-Analyst-Banking-retail-Analytics-HuQuo-Delhi-NCR-Bengaluru-Gurgaon-1-to-5-years-220918900271?src=jobsearchDesk&sid=15376475157970&xp=20&px=1,"Delhi NCR, Bengaluru, Gurgaon",Ranjeet Singh,1 day ago,Not Disclosed

Huquo,7-12 Yrs,Desired 2-4 Years Of Relevant Experience In Retail/Media Domain;- Must Have 2-4 Years Of Hands On,Senior Manager - Retail Analytics - Analytics Firm,"Sas, Logistic Regression, Chaid, R, Data Analytics, Anova, Excel",https://www.naukri.com/job-listings-Senior-Manager-Retail-Analytics-Analytics-Firm-HuQuo-Delhi-NCR-Bengaluru-7-to-12-years-220918900158?src=jobsearchDesk&sid=15376475157970&xp=21&px=1,"Delhi NCR, Bengaluru",Ranjeet Singh,1 day ago,Not Disclosed

Huquo,3-5 Yrs,3-5 Years Of Total Experience Of Data Analytics / Data Insights Generation;- Good Communication/Problem,Senior Business Analyst - Model Validation - Kpo,"Excel, Model Validation, Business Analysis, Data Analytics, Sas, Vba",https://www.naukri.com/job-listings-Senior-Business-Analyst-Model-Validation-KPO-HuQuo-Delhi-NCR-Bengaluru-Gurgaon-3-to-5-years-220918900102?src=jobsearchDesk&sid=15376475157970&xp=22&px=1,"Delhi NCR, Bengaluru, Gurgaon",Ranjeet Singh,1 day ago,Not Disclosed

